area,dose,age_band,start_date,end_date,population,vaccines,percent_vaccinate
London,1st dose,45-49,2020-12-08,2021-04-25,596614,399289,0.6692585155561217
London,1st dose,50-54,2020-12-08,2021-04-25,567017,467614,0.8246913231878409
London,1st dose,55-59,2020-12-08,2021-04-25,495468,434029,0.875998046291587
London,1st dose,60-64,2020-12-08,2021-04-25,391074,355882,0.910011915903384
London,1st dose,65-69,2020-12-08,2021-04-25,312926,278023,0.8884624479908988
London,1st dose,70-74,2020-12-08,2021-04-25,273546,249532,0.9122122056253793
London,1st dose,75-79,2020-12-08,2021-04-25,193310,176725,0.914205162692049
London,1st dose,80+,2020-12-08,2021-04-25,301733,256133,0.8488730102441563
London,1st dose,Under 45,2020-12-08,2021-04-25,3986720,892799,0.2239432415619858
London,2nd dose,45-49,2020-12-08,2021-04-25,596614,66118,0.11082207256282957
London,2nd dose,50-54,2020-12-08,2021-04-25,567017,80235,0.1415036938927757
London,2nd dose,55-59,2020-12-08,2021-04-25,495468,93921,0.1895601734118046
London,2nd dose,60-64,2020-12-08,2021-04-25,391074,105814,0.2705728327631088
London,2nd dose,65-69,2020-12-08,2021-04-25,312926,163287,0.5218070725986336
London,2nd dose,70-74,2020-12-08,2021-04-25,273546,206223,0.7538878287381281
London,2nd dose,75-79,2020-12-08,2021-04-25,193310,154040,0.7968547928198231
London,2nd dose,80+,2020-12-08,2021-04-25,301733,223389,0.7403532261966705
London,2nd dose,Under 45,2020-12-08,2021-04-25,3986720,236418,0.059301380583537344
Rest of England,1st dose,45-49,2020-12-08,2021-04-25,3119198,2198011,0.7046718419285983
Rest of England,1st dose,50-54,2020-12-08,2021-04-25,3340444,3011474,0.9015190794996114
Rest of England,1st dose,55-59,2020-12-08,2021-04-25,3175183,3050164,0.9606262064265272
Rest of England,1st dose,60-64,2020-12-08,2021-04-25,2720761,2682495,0.985935552589882
Rest of England,1st dose,65-69,2020-12-08,2021-04-25,2483814,2355314,0.9482650472217324
Rest of England,1st dose,70-74,2020-12-08,2021-04-25,2505780,2450518,0.9779461884123906
Rest of England,1st dose,75-79,2020-12-08,2021-04-25,1747376,1805941,1.033515969087363
Rest of England,1st dose,80+,2020-12-08,2021-04-25,2535231,2439220,0.9621292892048101
Rest of England,1st dose,Under 45,2020-12-08,2021-04-25,16724087,4596189,0.27482450910474215
Rest of England,2nd dose,45-49,2020-12-08,2021-04-25,3119198,395367,0.12675277427082218
Rest of England,2nd dose,50-54,2020-12-08,2021-04-25,3340444,492607,0.14746752228146917
Rest of England,2nd dose,55-59,2020-12-08,2021-04-25,3175183,540391,0.17019208026749955
Rest of England,2nd dose,60-64,2020-12-08,2021-04-25,2720761,502741,0.18477955248549946
Rest of England,2nd dose,65-69,2020-12-08,2021-04-25,2483814,701222,0.2823166307944154
Rest of England,2nd dose,70-74,2020-12-08,2021-04-25,2505780,1758890,0.7019331306020481
Rest of England,2nd dose,75-79,2020-12-08,2021-04-25,1747376,1626284,0.9307006620212249
Rest of England,2nd dose,80+,2020-12-08,2021-04-25,2535231,2245317,0.8856459233892297
Rest of England,2nd dose,Under 45,2020-12-08,2021-04-25,16724087,1391892,0.08322678541435476
